NAME	LATITUDE	LONGITUDE 
JB-_N_20140312_183554.wav	  49.74406 N	  8.62501 E
JB-___20140312_183610.wav	  49.76632 N	  8.63379 E
JB-___20140312_183615.wav	  49.76636 N	  8.63402 E
JB-___20140312_183621.wav	  49.76642 N	  8.63397 E
JB-___20140312_183646.wav	  49.76637 N	  8.63402 E
JB-___20140312_183703.wav	  49.76638 N	  8.63402 E
JB-___20140312_183731.wav	  49.76639 N	  8.63404 E
JB-___20140312_183733.wav	  49.76639 N	  8.63399 E
JB-___20140312_183804.wav	  49.76638 N	  8.63397 E
JB-___20140312_183812.wav	  49.76638 N	  8.63397 E
JB-___20140312_183816.wav	  49.76638 N	  8.63397 E
JB-___20140312_183820.wav	  49.76638 N	  8.63399 E
JB-___20140312_183824.wav	  49.76640 N	  8.63369 E
JB-___20140312_183830.wav	  49.76641 N	  8.63367 E
JB-___20140312_183835.wav	  49.76644 N	  8.63371 E
JB-___20140312_183849.wav	  49.76644 N	  8.63371 E
JB-___20140312_183856.wav	  49.76644 N	  8.63371 E
JB-_N_20140312_183905.wav	  49.76644 N	  8.63371 E
JB-___20140312_183909.wav	  49.76644 N	  8.63371 E
JB-___20140312_183911.wav	  49.76645 N	  8.63374 E
JB-___20140312_183926.wav	  49.76645 N	  8.63374 E
JB-___20140312_183928.wav	  49.76644 N	  8.63374 E
JB-___20140312_183940.wav	  49.76644 N	  8.63376 E
JB-___20140312_183948.wav	  49.76644 N	  8.63377 E
JB-___20140312_183956.wav	  49.76644 N	  8.63379 E
JB-___20140312_183958.wav	  49.76644 N	  8.63379 E
JB-___20140312_184020.wav	  49.76643 N	  8.63381 E
JB-___20140312_184023.wav	  49.76643 N	  8.63379 E
JB-_N_20140312_184031.wav	  49.76642 N	  8.63381 E
JB-___20140312_184033.wav	  49.76650 N	  8.63379 E
JB-___20140312_184050.wav	  49.76649 N	  8.63379 E
JB-___20140312_184057.wav	  49.76650 N	  8.63379 E
JB-___20140312_184108.wav	  49.76650 N	  8.63379 E
JB-___20140312_184112.wav	  49.76650 N	  8.63379 E
JB-___20140312_184125.wav	  49.76650 N	  8.63381 E
JB-___20140312_184129.wav	  49.76651 N	  8.63381 E
JB-___20140312_184158.wav	  49.76651 N	  8.63381 E
JB-___20140312_184201.wav	  49.76650 N	  8.63381 E
JB-___20140312_184214.wav	  49.76650 N	  8.63381 E
JB-___20140312_184218.wav	  49.76650 N	  8.63381 E
JB-___20140312_184232.wav	  49.76650 N	  8.63381 E
JB-_N_20140312_184239.wav	  49.76650 N	  8.63381 E
JB-___20140312_184243.wav	  49.76650 N	  8.63381 E
JB-_N_20140312_184248.wav	  49.76650 N	  8.63381 E
JB-___20140312_184249.wav	  49.76650 N	  8.63381 E
JB-___20140312_184303.wav	  49.76650 N	  8.63382 E
JB-___20140312_184310.wav	  49.76650 N	  8.63382 E
JB-___20140312_184316.wav	  49.76650 N	  8.63382 E
JB-_N_20140312_184323.wav	  49.76650 N	  8.63382 E
JB-___20140312_184326.wav	  49.76650 N	  8.63382 E
JB-_N_20140312_184332.wav	  49.76650 N	  8.63382 E
JB-___20140312_184335.wav	  49.76650 N	  8.63384 E
JB-___20140312_184353.wav	  49.76650 N	  8.63384 E
JB-___20140312_184357.wav	  49.76650 N	  8.63384 E
JB-___20140312_184404.wav	  49.76650 N	  8.63386 E
JB-___20140312_184412.wav	  49.76650 N	  8.63386 E
JB-___20140312_184420.wav	  49.76650 N	  8.63386 E
JB-___20140312_184423.wav	  49.76650 N	  8.63386 E
JB-___20140312_184444.wav	  49.76650 N	  8.63386 E
JB-___20140312_184451.wav	  49.76650 N	  8.63386 E
JB-___20140312_184521.wav	  49.76650 N	  8.63386 E
JB-___20140312_184549.wav	  49.76650 N	  8.63386 E
JB-_N_20140312_184552.wav	  49.76650 N	  8.63386 E
JB-___20140312_184554.wav	  49.76650 N	  8.63386 E
JB-___20140312_184558.wav	  49.76650 N	  8.63386 E
JB-_N_20140312_184616.wav	  49.76650 N	  8.63386 E
JB-___20140312_184619.wav	  49.76650 N	  8.63386 E
JB-___20140312_184640.wav	  49.76650 N	  8.63387 E
JB-___20140312_184735.wav	  49.76650 N	  8.63387 E
JB-___20140312_184741.wav	  49.76650 N	  8.63387 E
JB-___20140312_184745.wav	  49.76650 N	  8.63387 E
JB-___20140312_184748.wav	  49.76650 N	  8.63387 E
JB-___20140312_184855.wav	  49.76650 N	  8.63387 E
JB-___20140312_184859.wav	  49.76650 N	  8.63387 E
JB-___20140312_184904.wav	  49.76650 N	  8.63387 E
JB-___20140312_184916.wav	  49.76650 N	  8.63387 E
JB-___20140312_184927.wav	  49.76650 N	  8.63387 E
JB-___20140312_184938.wav	  49.76650 N	  8.63387 E
JB-___20140312_184945.wav	  49.76650 N	  8.63387 E
JB-___20140312_184949.wav	  49.76650 N	  8.63387 E
JB-___20140312_184954.wav	  49.76650 N	  8.63387 E
JB-___20140312_185002.wav	  49.76650 N	  8.63387 E
JB-___20140312_185008.wav	  49.76650 N	  8.63387 E
JB-_N_20140312_185013.wav	  49.76650 N	  8.63387 E
JB-___20140312_185016.wav	  49.76650 N	  8.63387 E
JB-___20140312_185021.wav	  49.76650 N	  8.63387 E
JB-___20140312_185025.wav	  49.76650 N	  8.63387 E
JB-_N_20140312_185031.wav	  49.76650 N	  8.63387 E
JB-___20140312_185039.wav	  49.76650 N	  8.63387 E
JB-_N_20140312_185049.wav	  49.76650 N	  8.63387 E
JB-___20140312_185051.wav	  49.76650 N	  8.63387 E
JB-___20140312_185056.wav	  49.76650 N	  8.63387 E
JB-___20140312_185101.wav	  49.76650 N	  8.63387 E
JB-_N_20140312_185106.wav	  49.76650 N	  8.63387 E
JB-___20140312_185110.wav	  49.76650 N	  8.63387 E
JB-_N_20140312_185118.wav	  49.76650 N	  8.63387 E
JB-_N_20140312_185120.wav	  49.76650 N	  8.63387 E
JB-___20140312_185121.wav	  49.76650 N	  8.63387 E
JB-___20140312_185127.wav	  49.76650 N	  8.63387 E
JB-___20140312_185131.wav	  49.76650 N	  8.63387 E
JB-___20140312_185135.wav	  49.76650 N	  8.63387 E
JB-___20140312_185139.wav	  49.76650 N	  8.63387 E
JB-___20140312_185141.wav	  49.76650 N	  8.63387 E
JB-_N_20140312_185150.wav	  49.76650 N	  8.63387 E
JB-___20140312_185153.wav	  49.76650 N	  8.63387 E
JB-___20140312_185204.wav	  49.76650 N	  8.63387 E
JB-___20140312_185218.wav	  49.76650 N	  8.63387 E
JB-___20140312_185221.wav	  49.76650 N	  8.63387 E
JB-___20140312_185228.wav	  49.76650 N	  8.63387 E
JB-___20140312_185238.wav	  49.76650 N	  8.63387 E
JB-_N_20140312_185246.wav	  49.76650 N	  8.63387 E
JB-___20140312_185248.wav	  49.76650 N	  8.63387 E
JB-___20140312_185256.wav	  49.76650 N	  8.63387 E
JB-___20140312_185301.wav	  49.76650 N	  8.63387 E
JB-___20140312_185309.wav	  49.76650 N	  8.63387 E
JB-___20140312_185320.wav	  49.76650 N	  8.63387 E
JB-___20140312_185328.wav	  49.76650 N	  8.63387 E
JB-___20140312_185340.wav	  49.76650 N	  8.63387 E
JB-___20140312_185345.wav	  49.76650 N	  8.63387 E
JB-___20140312_185353.wav	  49.76650 N	  8.63389 E
JB-___20140312_185358.wav	  49.76650 N	  8.63389 E
JB-___20140312_185407.wav	  49.76650 N	  8.63389 E
JB-___20140312_185425.wav	  49.76650 N	  8.63389 E
JB-___20140312_185438.wav	  49.76650 N	  8.63389 E
JB-___20140312_185453.wav	  49.76650 N	  8.63389 E
JB-___20140312_185456.wav	  49.76650 N	  8.63389 E
JB-___20140312_185501.wav	  49.76650 N	  8.63389 E
JB-___20140312_185508.wav	  49.76650 N	  8.63389 E
JB-___20140312_185534.wav	  49.76650 N	  8.63389 E
JB-___20140312_185543.wav	  49.76650 N	  8.63389 E
JB-___20140312_185547.wav	  49.76650 N	  8.63389 E
JB-___20140312_185552.wav	  49.76650 N	  8.63389 E
JB-___20140312_185558.wav	  49.76650 N	  8.63389 E
JB-___20140312_185605.wav	  49.76650 N	  8.63389 E
JB-_N_20140312_185609.wav	  49.76650 N	  8.63389 E
JB-___20140312_185612.wav	  49.76651 N	  8.63389 E
JB-___20140312_185626.wav	  49.76651 N	  8.63389 E
JB-___20140312_185636.wav	  49.76651 N	  8.63389 E
JB-___20140312_185650.wav	  49.76651 N	  8.63389 E
JB-___20140312_185702.wav	  49.76651 N	  8.63389 E
JB-___20140312_185708.wav	  49.76651 N	  8.63389 E
JB-___20140312_185714.wav	  49.76651 N	  8.63389 E
JB-_N_20140312_185721.wav	  49.76651 N	  8.63389 E
JB-___20140312_185723.wav	  49.76651 N	  8.63389 E
JB-___20140312_185727.wav	  49.76651 N	  8.63389 E
JB-___20140312_185734.wav	  49.76651 N	  8.63389 E
JB-___20140312_185738.wav	  49.76651 N	  8.63389 E
JB-___20140312_185744.wav	  49.76651 N	  8.63389 E
JB-___20140312_185755.wav	  49.76651 N	  8.63389 E
JB-___20140312_185758.wav	  49.76651 N	  8.63389 E
JB-___20140312_185800.wav	  49.76651 N	  8.63389 E
JB-___20140312_185820.wav	  49.76651 N	  8.63389 E
JB-_N_20140312_185825.wav	  49.76651 N	  8.63389 E
JB-___20140312_185826.wav	  49.76651 N	  8.63389 E
JB-___20140312_185830.wav	  49.76651 N	  8.63389 E
JB-___20140312_185837.wav	  49.76651 N	  8.63389 E
JB-_N_20140312_185844.wav	  49.76651 N	  8.63389 E
JB-___20140312_185847.wav	  49.76651 N	  8.63389 E
JB-___20140312_185853.wav	  49.76651 N	  8.63389 E
JB-___20140312_185858.wav	  49.76651 N	  8.63389 E
JB-___20140312_185900.wav	  49.76651 N	  8.63389 E
JB-___20140312_185909.wav	  49.76651 N	  8.63389 E
JB-___20140312_185921.wav	  49.76651 N	  8.63389 E
JB-___20140312_185934.wav	  49.76651 N	  8.63391 E
JB-_N_20140312_185940.wav	  49.76651 N	  8.63391 E
JB-___20140312_185943.wav	  49.76651 N	  8.63391 E
JB-___20140312_185958.wav	  49.76650 N	  8.63391 E
JB-___20140312_190035.wav	  49.76650 N	  8.63391 E
JB-___20140312_190044.wav	  49.76650 N	  8.63391 E
JB-___20140312_190053.wav	  49.76650 N	  8.63391 E
JB-___20140312_190108.wav	  49.76650 N	  8.63391 E
JB-___20140312_190118.wav	  49.76650 N	  8.63391 E
JB-___20140312_190128.wav	  49.76650 N	  8.63391 E
JB-___20140312_190146.wav	  49.76650 N	  8.63391 E
JB-___20140312_190204.wav	  49.76650 N	  8.63392 E
JB-___20140312_190222.wav	  49.76650 N	  8.63392 E
JB-___20140312_190250.wav	  49.76650 N	  8.63392 E
JB-___20140312_190308.wav	  49.76650 N	  8.63392 E
JB-___20140312_190323.wav	  49.76650 N	  8.63392 E
JB-___20140312_190328.wav	  49.76650 N	  8.63392 E
JB-___20140312_190359.wav	  49.76650 N	  8.63392 E
JB-___20140312_190408.wav	  49.76650 N	  8.63392 E
JB-___20140312_190415.wav	  49.76650 N	  8.63392 E
JB-___20140312_190435.wav	  49.76650 N	  8.63392 E
JB-___20140312_190446.wav	  49.76650 N	  8.63392 E
JB-___20140312_190519.wav	  49.76650 N	  8.63392 E
JB-___20140312_190531.wav	  49.76650 N	  8.63392 E
JB-___20140312_190617.wav	  49.76650 N	  8.63392 E
JB-_N_20140312_190636.wav	  49.76650 N	  8.63392 E
JB-___20140312_190639.wav	  49.76650 N	  8.63392 E
JB-___20140312_190803.wav	  49.76649 N	  8.63392 E
JB-___20140312_190829.wav	  49.76649 N	  8.63392 E
JB-___20140312_190837.wav	  49.76649 N	  8.63392 E
JB-_N_20140312_190851.wav	  49.76649 N	  8.63392 E
JB-___20140312_190853.wav	  49.76649 N	  8.63392 E
JB-___20140312_190900.wav	  49.76649 N	  8.63392 E
JB-___20140312_190909.wav	  49.76649 N	  8.63392 E
JB-___20140312_190921.wav	  49.76649 N	  8.63392 E
JB-___20140312_190939.wav	  49.76649 N	  8.63392 E
JB-___20140312_190948.wav	  49.76649 N	  8.63392 E
JB-___20140312_190951.wav	  49.76649 N	  8.63392 E
JB-___20140312_190958.wav	  49.76649 N	  8.63392 E
JB-___20140312_191008.wav	  49.76649 N	  8.63392 E
JB-___20140312_191016.wav	  49.76649 N	  8.63392 E
JB-___20140312_191022.wav	  49.76649 N	  8.63392 E
JB-___20140312_191058.wav	  49.76649 N	  8.63394 E
JB-___20140312_191108.wav	  49.76649 N	  8.63394 E
JB-_N_20140312_191125.wav	  49.76648 N	  8.63392 E
JB-___20140312_191201.wav	  49.76648 N	  8.63394 E
JB-___20140312_191251.wav	  49.76650 N	  8.63396 E
JB-___20140312_191258.wav	  49.76650 N	  8.63396 E
JB-___20140312_191304.wav	  49.76650 N	  8.63396 E
JB-___20140312_191309.wav	  49.76650 N	  8.63396 E
JB-_N_20140312_191324.wav	  49.76650 N	  8.63396 E
JB-___20140312_191326.wav	  49.76650 N	  8.63396 E
JB-___20140312_191333.wav	  49.76650 N	  8.63396 E
JB-___20140312_191341.wav	  49.76650 N	  8.63396 E
JB-___20140312_191425.wav	  49.76649 N	  8.63396 E
JB-___20140312_191435.wav	  49.76649 N	  8.63396 E
JB-___20140312_191614.wav	  49.76652 N	  8.63396 E
JB-___20140312_191624.wav	  49.76652 N	  8.63397 E
JB-___20140312_191658.wav	  49.76652 N	  8.63397 E
JB-___20140312_191741.wav	  49.76652 N	  8.63397 E
JB-___20140312_191745.wav	  49.76652 N	  8.63396 E
JB-___20140312_191801.wav	  49.76651 N	  8.63396 E
JB-___20140312_191807.wav	  49.76651 N	  8.63396 E
JB-___20140312_191815.wav	  49.76651 N	  8.63396 E
JB-___20140312_191822.wav	  49.76651 N	  8.63396 E
JB-___20140312_191828.wav	  49.76651 N	  8.63396 E
